_mb_row_id,Unnamed Column,ID,Fid,Cd Mun,Nm Mun,Sigla Uf,Ckey,Populacao,Nota Veg,Nota Area,Nota Relevo,Nota P Q1,Nota P Q2,Nota P Q3,Nota P Q4,Nota Insalub,Nota Insalub 2,Area Cidade,Area Georef,Percent Area Georef,Num Imoveis,Area Car Total,Area Car Media,Perimetro Total Car,Perimetro Medio Car,Area Max Perim,Nota Total Q1,Nota Total Q2,Nota Total Q3,Nota Total Q4,Nota Media,Valor Mun Perim,Valor Mun Area
1,0,1,1,2.708.600,sao miguel dos campos,AL,sao miguel dos campos al,51.783,"2,3","2,22","2,5","4,55","9,63","5,65","6,09","2,62","4,76","35.168,74","343.700.899,36","97,73",163,"28.178,93","188,49","1.303,06","7,99","508,56",15,20,16,17,17,"1.168.882,98","20.553.313.781,77"
2,1,2,2,2.701.407,campo alegre,AL,campo alegre al,32.010,"2,14","2,44","2,5","4,53","9,47","5,57","6,16","1,68","4,8","32.733,3","320.974.144,15","98,06",165,"28.069,47","175,02","835,4","5,06","203,99",14,19,15,16,16,"749.374,88","19.194.253.819,91"
3,2,3,3,2.700.102,agua branca,AL,agua branca al,19.003,"2,46","4,91","2,5","4,62","6,93","4,36","6,77","0,15","0,64","49.218,72","485.549.891,23","98,65",1.851,"24.848,86","14,58","2.458,05","1,33","14,03",16,18,15,18,17,"2.204.945,88","29.035.883.495,65"
4,3,4,4,2.703.205,igreja nova,AL,igreja nova al,21.371,"2,15","7,9","4,5","4,51","9,35","5,49","6,3","0,067","1,04","44.722,77","437.969.008,5","97,93",5.832,"37.501,99","9,43","6.685,56","1,15","10,46",20,25,21,22,22,"5.997.145,85","26.190.546.708,05"
5,4,5,5,2.709.103,taquarana,AL,taquarana al,18.968,"2,15","7,83","4,5","4,54","9,06","5,39","6,23","0,15","1,57","16.085,42","154.140.002,44","95,83",1.608,"9.451,2","6,61","1.493,34","0,93","6,86",20,25,21,22,22,"1.339.573,74","9.217.572.146,19"
6,5,6,6,2.709.152,teotonio vilela,AL,teotonio vilela al,37.986,"2,2","2,88","2,5","4,52","9,49","5,57","6,2","0,17","5,09","31.306,29","304.337.209,54","97,21",956,"24.135,93","28,62","2.028,8","2,12","35,84",13,18,14,15,15,"1.516.568,7","15.165.123.151,17"
7,6,7,7,2.701.902,cha preta,AL,cha preta al,5.877,"2,26","2,87","7,5","4,59","9,01","5,4","6,1",0,0,"16.522,82","164.457.285,44","99,53",384,"13.516,48","38,62","927,41","2,42","46,42",18,23,19,20,20,"831.913,12","9.834.545.669,32"
8,7,8,8,2.705.804,olho dagua do casado,AL,olho dagua do casado al,8.342,"2,44","4,04","4,5","4,59","7,17","4,46","6,74","0,3","0,23","34.048,38","310.807.724,23","91,28",949,"21.182,82","25,51","1.730,89","1,82","26,47",17,19,17,19,18,"1.552.656,55","18.586.301.908,74"
9,8,9,9,2.704.500,maragogi,AL,maragogi al,31.977,"2,52","2,87","7,5","4,71","9,95","5,78","5,7","2,63","2,43","35.147,47","338.341.275,96","96,26",770,"27.288,62","43,79","1.374,05","1,78","25,34",21,26,22,22,23,"1.232.563,89","20.232.808.302,19"
10,9,10,10,2.707.602,quebrangulo,AL,quebrangulo al,11.056,"2,38","4,3","7,5","4,57","8,85","5,32","6,18","0,16","1,51","33.451,28","305.301.149,79","91,27",1.106,"23.764,89","23,95","2.010,19","1,82","26,29",20,24,21,22,22,"1.803.196,95","18.257.008.757,6"
11,10,11,11,2.700.607,barra de sao miguel,AL,barra de sao miguel al,7.907,"2,55","2,4","2,5","4,55","9,84","5,74","6,03","0,32","3,12","7.793,83","71.906.399,4","92,26",53,"5.404,38","119,37","260,87","4,92","192,79",13,19,15,15,16,"234.009,7","4.300.002.684,38"
12,11,34,34,2.704.302,maceio,AL,maceio al,953.326,"2,64","2,3","7,5","4,59","9,86","5,76","5,92","1,57","2,82","53.469,47","411.036.195,62","76,87",149,"31.192,34","226,2","882,18","5,92","278,95",20,25,21,21,22,"791.340,44","24.579.964.497,94"
13,12,12,12,2.704.104,lagoa da canoa,AL,lagoa da canoa al,18.428,"2,1","8,63","4,5","4,52","8,92","5,31","6,33",0,"1,92","8.733,06","82.768.933,12","94,78",1.076,"4.903,01","5,1","979,02","0,91","6,59",21,25,22,23,23,"878.210,07","4.949.582.200,87"
14,13,13,13,2.707.206,poco das trincheiras,AL,poco das trincheiras al,12.480,"2,25","7,95","4,5","4,57","7,79","4,79","6,52",0,"0,036","29.634,43","294.035.682,97","99,22",2.959,"22.035,26","8,42","3.341,62","1,13","10,15",20,23,20,22,21,"2.997.532,21","17.583.333.841,78"
15,14,14,14,2.701.100,branquinha,AL,branquinha al,9.376,"2,47","2,66","7,5","4,6","9,27","5,52","6,01","1,23","0,81","17.644,32","175.087.339,17","99,23",202,"13.233,92","70,96","592,19","2,93","68,39",19,24,20,21,21,"531.216,64","10.470.222.882,31"
16,15,15,15,2.702.405,delmiro gouveia,AL,delmiro gouveia al,51.193,"2,47","2,92","2,5","4,62","6,79","4,27","6,83","0,27","1,13","65.240,93","560.417.821,95","85,9",1.100,"30.270,11","29,95","2.548,84","2,32","42,73",14,16,13,16,15,"1.905.308,43","27.925.620.067,94"
17,16,16,16,2.708.303,sao jose da laje,AL,sao jose da laje al,20.805,"2,31","2,87","7,5","4,63","9,11","5,45","5,98","0,83","1,67","26.898,09","265.609.608,78","98,75",554,"22.325,11","42,46","1.012,15","1,83","26,56",19,24,20,20,21,"907.931,83","15.883.454.605,08"
18,17,17,17,2.703.700,jaramataia,AL,jaramataia al,4.983,"2,17","2,91","4,5","4,53","8,48","5,1","6,42","0,43","0,31","10.995,98","109.106.723,77","99,22",435,"8.601,5","22,15","745,39","1,71","23,37",16,19,16,17,17,"668.634,64","6.524.582.081,51"
19,18,18,18,2.703.759,jequia da praia,AL,jequia da praia al,9.453,"2,34","2,07","2,5","4,54","9,78","5,71","6,09","0,15","2,34","35.056,77","325.563.683,08","92,87",184,"29.661,41","168,25","1.003,86","5,46","236,86",13,18,14,14,15,"750.404,22","16.222.838.327,7"
20,19,19,19,2.706.802,piacabucu,AL,piacabucu al,15.890,"2,41","4,34","2,5","4,5","9,84","5,7","6,23","0,045","0,64","25.487,74","163.631.343,66","64,2",295,"6.587,67","26,13","516,74","1,75","24,42",15,20,16,17,17,"463.530,51","9.785.154.350,92"
21,20,20,20,2.705.507,murici,AL,murici al,25.083,"2,48","2,31","7,5","4,6","9,46","5,6","5,98","0,59","2,14","43.842,65","393.838.897,34","89,83",205,"32.179,78","177,71","1.167,78","5,7","258,23",18,23,19,20,20,"1.047.531,33","23.551.566.060,9"
22,21,21,21,2.704.203,limoeiro de anadia,AL,limoeiro de anadia al,24.717,"2,09","5,05","2,5","4,53","9,18","5,44","6,23","0,15","1,39","32.332,08","316.118.857,52","97,77",1.535,"18.788,5","14,04","2.022,05","1,32","13,81",15,20,16,17,17,"1.813.836,48","18.903.907.679,65"
23,22,22,22,2.706.000,olivenca,AL,olivenca al,10.812,"2,16","8,4","4,5","4,55","8,1","4,93","6,48","0,067","0,075","18.153,87","180.177.747,92","99,25",1.538,"9.689,54","7,21","1.592,45","1,04","8,53",21,24,21,23,22,"1.428.475,58","10.774.629.325,61"
24,23,23,23,2.700.706,batalha,AL,batalha al,16.434,"2,25","4,49","4,5","4,53","8,38","5,05","6,47","4,12","2,14","34.586,18","342.216.576,87","98,95",1.369,"27.181,25","23,8","2.393,6","1,75","24,33",21,25,21,23,22,"2.147.133,14","20.464.551.297,09"
25,24,35,35,2.700.409,atalaia,AL,atalaia al,37.455,"2,18","2,69","7,5","4,57","9,45","5,58","6,05","0,34","1,73","55.881,17","551.360.931,02","98,67",462,"45.421,87","111,72","1.997,66","4,32","148,78",18,23,19,20,20,"1.791.959,9","32.971.383.675,27"
26,25,24,24,2.702.504,dois riachos,AL,dois riachos al,9.805,"2,24","7,93","4,5","4,55","8,18","4,98","6,43","0,15","1,48","14.845,23","145.791.249,48","98,21",1.192,"9.261,68","8,66","1.344,87","1,13","10,13",20,24,21,22,22,"1.206.390,56","8.718.316.719,02"
27,26,25,25,2.707.305,porto calvo,AL,porto calvo al,24.059,"2,29","2,89","7,5","4,69","9,83","5,74","5,77","3,39","2,22","32.986,16","322.831.165,5","97,87",1.037,"27.609,88","31,53","1.581,73","1,53","18,51",22,27,23,23,24,"1.418.857,67","19.305.303.696,91"
28,27,26,26,2.708.402,sao jose da tapera,AL,sao jose da tapera al,30.590,"2,21","7,74","4,5","4,56","7,7","4,72","6,61","0,024","1,82","51.082,63","505.921.721,98","99,04",5.177,"40.104,16","10,25","6.367,09","1,23","12,04",20,23,20,22,21,"5.711.468,4","30.254.118.974,58"
29,28,27,27,2.702.553,estrela de alagoas,AL,estrela de alagoas al,15.426,"2,19","8,57","4,5","4,55","8,55","5,17","6,31","0,047","0,023","27.215,87","268.103.547,19","98,51",4.415,"21.832,94","5,91","3.891,94","0,88","6,18",21,25,21,23,22,"3.491.190,44","16.032.592.121,86"
30,29,28,28,2.701.209,cacimbinhas,AL,cacimbinhas al,10.473,"2,2","4,43","4,5","4,55","8,41","5,09","6,38","0,14","0,3","29.427,83","292.115.860,22","99,27",1.062,20.860,"21,61","1.715,61","1,62","20,77",17,21,17,19,18,"1.538.955,57","17.468.528.441,27"
31,30,29,29,2.703.809,joaquim gomes,AL,joaquim gomes al,17.120,"2,5","2,85","7,5","4,64","9,47","5,61","5,9","0,76","1,07","31.579,73","241.855.367,63","76,59",514,"19.015,12","41,89","1.277,07","2,48","49,12",19,24,20,21,21,"1.145.568,18","14.462.950.984,08"
32,31,30,30,2.706.901,pilar,AL,pilar al,35.361,"2,34","2,48","2,5","4,56","9,61","5,65","6,04","0,28","2,79","27.217,32","265.476.138,1","97,54",167,"19.484,45","123,99","823,1","4,93","193,31",13,18,14,15,15,"615.283,35","13.228.675.961,63"
33,32,36,36,2.705.200,messias,AL,messias al,15.340,"2,41","2,14","7,5","4,6","9,62","5,67","5,94",0,"0,65","11.979,07","116.970.081,79","97,65",62,"11.150,8","216,17","337,19","5,44","235,37",18,23,19,19,20,"302.468,18","6.994.810.891,1"
34,33,37,37,2.707.008,pindoba,AL,pindoba al,2.715,"2,12","2,87","7,5","4,56","9,19","5,47","6,13",0,0,"12.307,73","122.745.570,83","99,73",249,"8.497,95","37,13","571,28","2,29","41,89",18,23,19,20,20,"512.454,56","7.340.185.135,57"
35,34,31,31,2.703.007,ibateguara,AL,ibateguara al,13.697,"2,46","2,86","7,5","4,65","9,25","5,51","5,92","3,84","2,17","27.831,23","276.557.906,72","99,37",507,"20.479,19","43,6","1.010,59","1,99","31,62",22,27,23,24,24,"906.532,35","16.538.162.822,08"
36,35,47,47,2.705.309,minador do negrao,AL,minador do negrao al,4.843,"2,26","4,73","4,5","4,56","8,4","5,1","6,34","0,15","0,26","17.480,01","171.975.070,78","98,38",873,"15.115,27","19,88","1.376,8","1,58","19,79",17,21,18,19,19,"1.235.035,17","10.284.109.232,71"
37,36,32,32,2.701.704,capela,AL,capela al,14.896,"2,17","2,74","7,5","4,59","9,3","5,53","6,04","0,92","1,39","26.528,78","263.361.492,01","99,27",302,"21.278,81","77,74","1.064,39","3,52","98,85",19,24,20,20,21,"954.787,32","15.749.017.222,38"
38,37,48,48,2.704.005,junqueiro,AL,junqueiro al,23.868,"2,09","7,07","2,5","4,53","9,32","5,5","6,22","0,76","5,17","25.829,01","248.976.134,82","96,39",2.296,"18.002,24","9,45","2.546,36","1,11","9,79",18,23,19,20,20,"2.284.161,27","14.888.772.862,27"
39,38,49,49,2.700.508,barra de santo antonio,AL,barra de santo antonio al,16.307,"2,69","2,13","7,5","4,63","9,92","5,79","5,85","0,044","0,6","13.802,59","127.607.010,19","92,45",65,"11.329,21","181,13","387,85","5,97","283,33",18,23,19,19,20,"347.915,51","7.630.899.209,32"
40,39,50,50,2.703.601,japaratinga,AL,japaratinga al,9.183,"2,47","2,91","7,5","4,69",10,"5,81","5,73","0,9","1,23","9.017,92","83.898.823,25","93,04",228,"4.823,93","24,08","340,8","1,49","17,78",19,25,21,21,22,"305.706,42","5.017.149.630,23"
41,40,51,51,2.702.306,coruripe,AL,coruripe al,50.286,"2,29","2,65","2,5","4,52","9,75","5,68","6,16","1,05","4,33","93.953,62","924.496.975,67","98,4",620,"59.983,98","110,73","3.340,38","5,39","230,99",14,19,15,16,16,"2.996.419,26","55.284.919.144,93"
42,41,52,52,2.707.107,piranhas,AL,piranhas al,22.594,"2,45","4,62","4,5","4,58","7,37","4,55","6,7","0,08","1,35","41.994,48","400.030.229,28","95,26",1.636,"30.102,94","21,04","2.865,11","1,75","24,41",17,20,17,19,18,"2.570.093,6","23.921.807.711,18"
43,42,33,33,2.705.606,novo lino,AL,novo lino al,10.015,"2,26","2,69","7,5","4,67","9,56","5,64","5,83",0,0,"23.039,62","213.343.769,95","92,6",402,"18.129,21","51,88",1.004,"2,5","49,64",18,23,19,19,20,"900.618,34","12.757.957.442,77"
44,43,38,38,2.708.956,senador rui palmeira,AL,senador rui palmeira al,12.281,"2,13","7,4","4,5","4,57","7,58","4,68","6,61","0,23","3,65","35.229,98","351.021.123,82","99,64",2.683,"27.325,09","11,76","3.599,97","1,34","14,33",20,23,20,22,21,"3.229.280,69","20.991.063.204,26"
45,44,39,39,2.703.502,jacuipe,AL,jacuipe al,5.322,"2,2","2,69","7,5","4,7","9,71","5,69","5,75","0,27","0,14","22.044,87","219.670.789,44","99,65",268,"18.545,28","79,77","663,95","2,48","48,84",18,23,19,19,20,"595.584,26","13.136.313.208,22"
46,45,40,40,2.702.207,coqueiro seco,AL,coqueiro seco al,5.571,"2,76","1,23","1,5","4,57","9,85","5,75","5,97","0,45","1,11","4.156,07","40.699.827,39","97,93",19,"2.076,67","116,89","124,37","6,55","340,96",12,17,13,13,14,"92.968,05","2.028.072.398,65"
47,46,41,41,2.709.400,vicosa,AL,vicosa al,23.988,"2,18","2,88","7,5","4,57","9,11","5,44","6,11","0,21","1,53","38.229,27","378.292.999,26","98,95",790,"31.178,67","41,79","1.808,66","2,29","41,71",18,23,19,20,20,"1.622.424,72","22.621.921.355,66"
48,47,42,42,2.704.807,maribondo,AL,maribondo al,13.669,"2,18","2,89","7,5","4,55","9,24","5,48","6,14","1,03","0,77","18.852,11","186.916.822,06","99,15",507,"12.841,4","26,74",1.061,"2,09","34,85",19,24,20,21,21,"951.749,15","11.177.625.959,27"
49,48,43,43,2.708.105,santana do mundau,AL,santana do mundau al,11.320,"2,27","4,81","7,5","4,6","9,04","5,42","6,05","1,75","0,97","24.317,07","241.812.713,64","99,44",1.281,"17.461,61","15,02","1.873,74","1,46","17,03",22,26,23,23,24,"1.680.800,15","14.460.400.275,92"
50,49,44,44,2.707.909,santa luzia do norte,AL,santa luzia do norte al,6.918,"2,63",1,"4,5","4,58","9,8","5,73","5,97","0,68","1,72","3.027,67","29.159.898,16","96,31",16,"1.539,56","137,69","120,23","7,51","449,31",14,20,16,16,16,"107.845,8",1.743.761.910
